datetime,seat,variable,value
2022-01-27 15:46:29.482288,Fisher (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Flynn (QLD),Labor,1.85
2022-01-27 15:46:29.482288,Forde (QLD),Labor,11.00
2022-01-27 15:46:29.482288,Griffith (QLD),Labor,1.25
2022-01-27 15:46:29.482288,Groom (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Herbert (QLD),Labor,6.00
2022-01-27 15:46:29.482288,Hinkler (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Kennedy (QLD),Labor,21.00
2022-01-27 15:46:29.482288,Leichhardt (QLD),Labor,2.40
2022-01-27 15:46:29.482288,Lilley (QLD),Labor,1.22
2022-01-27 15:46:29.482288,Longman (QLD),Labor,1.82
2022-01-27 15:46:29.482288,Maranoa (QLD),Labor,14.00
2022-01-27 15:46:29.482288,McPherson (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Moncrieff (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Moreton (QLD),Labor,1.04
2022-01-27 15:46:29.482288,Oxley (QLD),Labor,1.04
2022-01-27 15:46:29.482288,Petrie (QLD),Labor,10.00
2022-01-27 15:46:29.482288,Rankin (QLD),Labor,1.03
2022-01-27 15:46:29.482288,Ryan (QLD),Labor,8.00
2022-01-27 15:46:29.482288,Wide Bay (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Wright (QLD),Labor,14.00
2022-01-27 15:46:29.482288,Brand (WA),Labor,1.03
2022-01-27 15:46:29.482288,Burt (WA),Labor,1.02
2022-01-27 15:46:29.482288,Canning (WA),Labor,9.00
2022-01-27 15:46:29.482288,Cowan (WA),Labor,1.08
2022-01-27 15:46:29.482288,Curtin (WA),Labor,14.00
2022-01-27 15:46:29.482288,Durack (WA),Labor,14.00
2022-01-27 15:46:29.482288,Forrest (WA),Labor,14.00
2022-01-27 15:46:29.482288,Fremantle (WA),Labor,1.05
2022-01-27 15:46:29.482288,Hasluck (WA),Labor,2.25
2022-01-27 15:46:29.482288,Moore (WA),Labor,14.00
2022-01-27 15:46:29.482288,O'Connor (WA),Labor,14.00
2022-01-27 15:46:29.482288,Pearce (WA),Labor,1.35
2022-01-27 15:46:29.482288,Perth (WA),Labor,1.03
2022-01-27 15:46:29.482288,Swan (WA),Labor,1.25
2022-01-27 15:46:29.482288,Tangney (WA),Labor,6.50
2022-01-27 15:46:29.482288,Adelaide (SA),Labor,1.01
2022-01-27 15:46:29.482288,Barker (SA),Labor,14.00
2022-01-27 15:46:29.482288,Boothby (SA),Labor,1.75
2022-01-27 15:46:29.482288,Grey (SA),Labor,12.00
2022-01-27 15:46:29.482288,Kingston (SA),Labor,1.02
2022-01-27 15:46:29.482288,Makin (SA),Labor,1.05
2022-01-27 15:46:29.482288,Mayo (SA),Labor,12.00
2022-01-27 15:46:29.482288,Spence (SA),Labor,1.01
2022-01-27 15:46:29.482288,Sturt (SA),Labor,4.05
2022-01-27 15:46:29.482288,Hindmarsh (SA),Labor,1.05
2022-01-27 15:46:29.482288,Bass (TAS),Labor,1.75
2022-01-27 15:46:29.482288,Clark (TAS),Labor,12.00
2022-01-27 15:46:29.482288,Lyons (TAS),Labor,1.08
2022-01-27 15:46:29.482288,Franklin (TAS),Labor,1.05
2022-01-27 15:46:29.482288,Braddon (TAS),Labor,1.90
2022-01-27 15:46:29.482288,Fenner (ACT),Labor,1.01
2022-01-27 15:46:29.482288,Bean (ACT),Labor,1.03
2022-01-27 15:46:29.482288,Canberra (ACT),Labor,1.01
2022-01-27 15:46:29.482288,Lingiari (NT),Labor,1.10
2022-01-27 15:46:29.482288,Solomon (NT),Labor,1.07
2022-01-27 15:46:29.482288,Banks (NSW),Green,34.00
2022-01-27 15:46:29.482288,Barton (NSW),Green,34.00
2022-01-27 15:46:29.482288,Bennelong (NSW),Green,34.00
2022-01-27 15:46:29.482288,Berowra (NSW),Green,34.00
2022-01-27 15:46:29.482288,Blaxland (NSW),Green,34.00
2022-01-27 15:46:29.482288,Bradfield (NSW),Green,34.00
2022-01-27 15:46:29.482288,Chifley (NSW),Green,34.00
2022-01-27 15:46:29.482288,Cook (NSW),Green,51.00
2022-01-27 15:46:29.482288,Cowper (NSW),Green,51.00
2022-01-27 15:46:29.482288,Cunningham (NSW),Green,34.00
2022-01-27 15:46:29.482288,Dobell (NSW),Green,34.00
2022-01-27 15:46:29.482288,Eden-Monaro (NSW),Green,51.00
2022-01-27 15:46:29.482288,Farrer (NSW),Green,61.00
2022-01-27 15:46:29.482288,Fowler (NSW),Green,51.00
2022-01-27 15:46:29.482288,Gilmore (NSW),Green,34.00
2022-01-27 15:46:29.482288,Grayndler (NSW),Green,14.00
2022-01-27 15:46:29.482288,Greenway (NSW),Green,34.00
2022-01-27 15:46:29.482288,Hughes (NSW),Green,91.00
2022-01-27 15:46:29.482288,Hume (NSW),Green,34.00
2022-01-27 15:46:29.482288,Hunter (NSW),Green,34.00
2022-01-27 15:46:29.482288,Kingsford Smith (NSW),Green,34.00
2022-01-27 15:46:29.482288,Lindsay (NSW),Green,34.00
2022-01-27 15:46:29.482288,Lyne (NSW),Green,34.00
2022-01-27 15:46:29.482288,Macarthur (NSW),Green,34.00
